GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,AssignPermissionsRequest,16,0,0,0,7,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,LoginResponse,56,0,0,0,15,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.entity,AccessLogStatus,0,21,0,0,0,4,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.backup.controller,BackupController,64,0,2,0,16,0,5,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminRecoveryToken,25,0,0,0,7,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminRole,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminPermission,24,0,2,0,5,0,2,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminAuditLog,27,0,0,0,9,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.service,ConnectionService,621,0,56,0,141,0,45,0,17,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.service,DataConnectionService,421,0,44,0,114,0,34,0,12,0
